"...1","V1.x","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg","State","V1.y","value"
133,133,30000,5,10,51,0,2012,"A",NA,"Montana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",40254,347922,12520507458,6503529527,149642237,692,35987,NA,0.98,0.96,0.94,0.81,0.96,0.97,0.97,NA,485,1.2,8393,2.5,800801322,6.8,332711326,5.4,7370408,5.2,28,4.2,1469,4.3,"Montana",133,7.65
134,134,31000,5,10,51,0,2012,"A",NA,"Nebraska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",62825,762468,29476893475,6938257036,167294874,743,38660,NA,0.97,0.99,0.97,1.01,1,0.99,0.99,NA,6489,11.5,18992,2.6,1546565856,5.5,243015805,3.6,-44091841,-20.9,21,2.9,1093,2.9,"Nebraska",134,7.25
135,135,32000,5,10,51,0,2012,"A",NA,"Nevada -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",71449,988141,41906786637,22905514641,525963504,816,42410,NA,1.01,1.04,1.01,1.02,1,0.97,0.97,NA,1212,1.7,18157,1.9,1500381593,3.7,346121588,1.5,109017266,26.1,15,1.9,753,1.8,"Nevada",135,8.25
136,136,33000,5,10,51,0,2012,"A",NA,"New Hampshire -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",46417,527252,25716854666,6624040780,220310729,938,48775,NA,0.98,1.02,1.04,1.02,1.01,1.01,1.01,NA,760,1.7,6925,1.3,927508165,3.7,817625440,14.1,11613535,5.6,22,2.4,1133,2.4,"New Hampshire",136,7.25
137,137,34000,5,10,51,0,2012,"A",NA,"New Jersey -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",252942,3194470,185564198042,75361375923,2443710333,1117,58089,NA,1.01,1.01,1,1,1,0.99,0.99,NA,-6041,-2.3,37932,1.2,6005609281,3.3,1995846280,2.7,217366445,9.8,23,2.1,1204,2.1,"New Jersey",137,7.25
138,138,35000,5,10,51,0,2012,"A",NA,"New Mexico -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",51716,603114,23835504837,11526045129,183989013,760,39521,NA,0.96,0.91,0.89,0.99,0.98,0.97,0.97,NA,179,0.3,6193,1,750287693,3.3,381865005,3.4,-4245902,-2.3,16,2.2,847,2.2,"New Mexico",138,7.5
139,139,36000,5,10,51,0,2012,"A",NA,"New York -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",590416,7190226,459541210856,62135369011,2847141873,1229,63912,NA,1.02,1,1.02,1.02,1.01,1.02,1.02,NA,8383,1.4,138841,2,14734332285,3.3,1524554824,2.5,45598592,1.6,16,1.3,831,1.3,"New York",139,7.25
140,140,37000,5,10,51,0,2012,"A",NA,"North Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",250434,3226792,138880028255,56757506972,1342058967,828,43040,NA,1,0.98,0.98,1.02,1.01,1,1,NA,4029,1.6,68499,2.2,6443595347,4.9,2911214869,5.4,144146977,12,22,2.7,1107,2.6,"North Carolina",140,7.25
141,141,38000,5,10,51,0,2012,"A",NA,"North Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",27198,344538,16132284490,7743045817,97448984,900,46823,NA,0.96,1,1.02,1,1,1.02,1.02,NA,2073,8.3,32014,10.2,2975669716,22.6,1445041593,22.9,11862284,13.9,90,11.1,4725,11.2,"North Dakota",141,7.25
142,142,39000,5,10,51,0,2012,"A",NA,"Ohio -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",273065,4337301,189108678975,39568574270,1367427131,838,43601,NA,0.98,1.02,1.01,1.02,1.01,0.99,0.99,NA,-665,-0.2,89615,2.1,9669152941,5.4,1054744019,2.7,-92229834,-6.3,26,3.2,1357,3.2,"Ohio",142,7.7
143,143,40000,5,10,51,0,2012,"A",NA,"Oklahoma -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",98780,1222393,51173057760,21682733094,553176766,805,41863,NA,0.98,0.94,0.95,0.95,0.97,1.01,1.01,NA,1727,1.8,32382,2.7,3385442766,7.1,1294952493,6.4,107214442,24,33,4.3,1706,4.2,"Oklahoma",143,7.25
144,144,41000,5,10,51,0,2012,"A",NA,"Oregon -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",126106,1372310,59939567136,31940590528,987309462,840,43678,NA,0.99,0.99,0.98,1.01,1,0.99,0.99,NA,2640,2.1,29847,2.2,2991094033,5.3,1438491111,4.7,44162810,4.7,24,2.9,1257,3,"Oregon",144,8.8
145,145,42000,5,10,51,0,2012,"A",NA,"Pennsylvania -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",335168,4887296,235307351597,38959461994,2589993897,926,48147,NA,0.99,1.04,1.04,1.02,1,1,1,NA,3445,1,62232,1.3,10160199445,4.5,562833590,1.5,78269031,3.1,29,3.2,1485,3.2,"Pennsylvania",145,7.25
146,146,44000,5,10,51,0,2012,"A",NA,"Rhode Island -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",34526,392112,17501067395,6203460872,239102942,858,44633,NA,1.01,1.04,0.99,1.02,1,0.96,0.96,NA,342,1,2842,0.7,555323824,3.3,256365659,4.3,13585965,6,21,2.5,1101,2.5,"Rhode Island",146,7.4
147,147,45000,5,10,51,0,2012,"A",NA,"South Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",108420,1478136,57149593235,18027423848,441749361,744,38663,NA,1,0.97,0.96,1.01,1,0.99,0.99,NA,1431,1.3,27296,1.9,2403925141,4.4,3119317005,20.9,-226269,-0.1,18,2.5,929,2.5,"South Carolina",147,7.25
148,148,46000,5,10,51,0,2012,"A",NA,"South Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",28968,329141,11949830758,3543415252,41468888,698,36306,NA,0.95,0.98,0.97,0.98,0.95,0.99,1,NA,312,1.1,7262,2.3,656371028,5.8,315223444,9.8,-3312330,-7.4,23,3.4,1220,3.5,"South Dakota",148,7.25
149,149,47000,5,10,51,0,2012,"A",NA,"Tennessee -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",137445,2240924,99185454634,21750607766,698203515,851,44261,NA,1.01,1.01,1.01,1,1,1.01,1.01,NA,2475,1.8,55204,2.5,6025334080,6.5,786033032,3.7,-13561432,-1.9,31,3.8,1639,3.8,"Tennessee",149,7.25
150,150,48000,5,10,51,0,2012,"A",NA,"Texas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",579846,8964789,462519509905,92622418339,2942334489,992,51593,NA,1,0.99,1.02,1.01,1,1.02,1.02,NA,13272,2.3,330507,3.8,34829315453,8.1,4372529416,5,152755889,5.5,39,4.1,2059,4.2,"Texas",150,7.25
151,151,49000,5,10,51,0,2012,"A",NA,"Utah -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",81619,1006278,41421072198,22149713254,345134146,792,41163,NA,0.99,0.98,0.98,1.02,1,1,1,NA,1584,2,37614,3.9,2735471688,7.1,1379138875,6.6,24947713,7.8,24,3.1,1226,3.1,"Utah",151,7.25
152,152,50000,5,10,51,0,2012,"A",NA,"Vermont -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",22788,247087,9934370680,3277670757,132588619,773,40206,NA,0.97,0.98,0.97,1.02,1,0.98,0.98,NA,133,0.6,3898,1.6,327895020,3.4,490541581,17.6,21605774,19.5,13,1.7,704,1.8,"Vermont",152,8.46
153,153,51000,5,10,51,0,2012,"A",NA,"Virginia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",230479,2927218,150404575833,26241690154,762878338,988,51381,NA,1,0.96,0.96,1.01,1,1,1,NA,5662,2.5,37783,1.3,5179692605,3.6,488221287,1.9,83383191,12.3,21,2.2,1120,2.2,"Virginia",153,7.25
154,154,53000,5,10,51,0,2012,"A",NA,"Washington -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",231293,2378502,123122560287,64245027951,1134616234,995,51765,NA,1.01,0.98,0.98,1.01,1,1,1,NA,6848,3.1,53130,2.3,7255322278,6.3,3195119403,5.2,-230805970,-16.9,37,3.9,1938,3.9,"Washington",154,9.04
155,155,54000,5,10,51,0,2012,"A",NA,"West Virginia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",45564,567438,22276531759,6656466544,212152913,755,39258,NA,0.95,0.95,0.94,1.01,1,0.99,0.99,NA,785,1.8,7800,1.4,694347884,3.2,100616737,1.5,3332875,1.6,13,1.8,693,1.8,"West Virginia",155,7.25
156,156,55000,5,10,51,0,2012,"A",NA,"Wisconsin -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",152165,2315717,96705438251,27000391841,1171519964,803,41760,NA,0.98,1.02,1.02,1.02,1,1,1,NA,1693,1.1,32117,1.4,3929543858,4.2,503524626,1.9,44847375,4,22,2.8,1133,2.8,"Wisconsin",156,7.25
157,157,56000,5,10,51,0,2012,"A",NA,"Wyoming -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",23900,212192,9402129354,4412888060,142604202,852,44310,NA,0.97,0.91,0.9,1,0.99,1,1,NA,355,1.5,3300,1.6,438448280,4.9,180415938,4.3,15806799,12.5,27,3.3,1399,3.3,"Wyoming",157,7.25
158,158,72000,5,10,51,0,2012,"A",NA,"Puerto Rico -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",46411,682921,17206427698,5078740758,184761389,485,25195,NA,0.99,0.87,0.81,1.01,0.99,0.94,0.94,NA,-1471,-3.1,15274,2.3,490924598,2.9,163679727,3.3,8078499,4.6,4,0.8,159,0.6,"Puerto Rico",158,7.25
159,159,78000,5,10,51,0,2012,"A",NA,"Virgin Islands -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",3327,29063,1054994247,599567573,3428614,698,36300,NA,0.99,0.85,0.8,1.02,1,0.94,0.94,NA,-69,-2,-2265,-7.2,-47147867,-4.3,-13339532,-2.2,888479,35,21,3.1,1120,3.2,"Virgin Islands",159,7.25
160,160,1000,5,10,51,0,2013,"A",NA,"Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",109762,1485544,61498381840,13487292299,384327054,796,41398,NA,0.98,0.95,0.94,1.01,1,0.98,0.98,NA,-106,-0.1,18177,1.2,1220071092,2,177575506,1.3,-32806836,-7.9,6,0.8,319,0.8,"Alabama",160,7.25
161,161,2000,5,10,51,0,2013,"A",NA,"Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19825,251347,12723764613,7388008772,246291680,974,50622,NA,0.93,0.91,0.89,0.99,0.98,0.98,0.98,NA,56,0.3,2771,1.1,397537546,3.2,281997804,4,29830820,13.8,20,2.1,1035,2.1,"Alaska",161,7.75
162,162,4000,5,10,51,0,2013,"A",NA,"Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",140829,2102853,95728373709,17545806673,412363847,875,45523,NA,1.01,1,1,1.01,0.99,0.99,0.99,NA,-3016,-2.1,57504,2.8,3207210324,3.5,645909885,3.8,15025597,3.8,5,0.6,288,0.6,"Arizona",162,7.8
163,163,5000,5,10,51,0,2013,"A",NA,"Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",82590,944619,36499914544,11452670875,374980218,743,38640,NA,0.98,0.98,0.97,1.01,1,0.99,0.99,NA,1850,2.3,231,0,725393142,2,18965900,0.2,-24944890,-6.2,15,2.1,759,2,"Arkansas",163,7.25
164,164,6000,5,10,51,0,2013,"A",NA,"California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1295971,13104595,741421834963,108140798376,5564703669,1088,56577,NA,1.01,1.01,1,1.02,1,0.99,0.99,NA,-3726,-0.3,420166,3.3,27349313301,3.8,3405159335,3.3,29257603,0.5,5,0.5,282,0.5,"California",164,8
165,165,8000,5,10,51,0,2013,"A",NA,"Colorado -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",171204,1952166,99824977031,23958463754,671885354,983,51135,NA,1.01,0.99,1,0.96,1,1.01,1.01,NA,2380,1.4,60296,3.2,3491294029,3.6,1511757368,6.7,-121802874,-15.3,4,0.4,215,0.4,"Colorado",165,7.78
166,166,9000,5,10,51,0,2013,"A",NA,"Connecticut -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",109292,1405206,88881950818,19394681857,803717335,1216,63252,NA,1,1.02,1.03,1.01,1,1.02,1.02,NA,1605,1.5,13457,1,998121343,1.1,262165750,1.4,-2036934,-0.3,2,0.2,106,0.2,"Connecticut",166,8.25
167,167,10000,5,10,51,0,2013,"A",NA,"Delaware -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",27795,353198,18350577936,3693029735,101254025,999,51955,NA,1.01,1.01,1.01,1.02,1,1,1,NA,517,1.9,7869,2.3,498253836,2.8,110819668,3.1,-2667878,-2.6,5,0.5,258,0.5,"Delaware",167,7.25
168,168,11000,5,10,51,0,2013,"A",NA,"District of Columbia","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",35010,485538,37348653518,4615576782,129670080,1479,76922,NA,1.02,0.8,0.74,1.02,1.01,0.93,0.93,NA,-574,-1.6,12793,2.7,1204436941,3.3,176689131,4,5416327,4.4,9,0.6,466,0.6,"District",168,8.25
169,169,12000,5,10,51,0,2013,"A",NA,"Florida -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",617861,6491842,278509657617,59395726898,2058992356,825,42901,NA,1.02,1.02,1.01,1.02,1.01,0.99,0.98,NA,16890,2.8,179649,2.8,10576035789,3.9,1868505431,3.2,-161240276,-7.3,9,1.1,454,1.1,"Florida",169,7.79
170,170,13000,5,10,51,0,2013,"A",NA,"Georgia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",264859,3278166,155743473463,34764875624,887430084,914,47509,NA,1,0.99,1.01,1.02,1,1.02,1.02,NA,4769,1.8,87594,2.7,5850363371,3.9,3904695246,12.7,54966653,6.6,11,1.2,529,1.1,"Georgia",170,7.25
171,171,15000,5,10,51,0,2013,"A",NA,"Hawaii -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",36343,497156,20624767459,12643489205,409811719,798,41485,NA,0.98,0.95,0.9,1.02,1.01,0.95,0.95,NA,249,0.7,13374,2.8,852300857,4.3,569309178,4.7,92282656,29.1,12,1.5,614,1.5,"Hawaii",171,7.25
172,172,16000,5,10,51,0,2013,"A",NA,"Idaho -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",50500,518892,19056479469,11851859746,279959091,706,36725,NA,0.98,0.98,0.98,1.01,1,1,1,NA,326,0.6,15118,3,980174692,5.4,567518553,5,-41126641,-12.8,16,2.3,843,2.3,"Idaho",172,7.25
173,173,17000,5,10,51,0,2013,"A",NA,"Illinois -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",391654,4897723,257748514314,60510243175,2763690398,1012,52626,NA,1.01,1.02,1.02,1.01,1,1,1,NA,8743,2.3,53938,1.1,4310462618,1.7,-1478416373,-2.4,-429385045,-13.4,6,0.6,304,0.6,"Illinois",173,8.25
174,174,18000,5,10,51,0,2013,"A",NA,"Indiana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",153580,2458260,102733798132,24236453019,733383984,804,41791,NA,1,1.02,1.03,1.02,1,1.01,1.01,NA,-698,-0.5,39835,1.6,2715329172,2.7,481191845,2,-13844164,-1.9,9,1.1,434,1,"Indiana",174,7.25
175,175,19000,5,10,51,0,2013,"A",NA,"Iowa -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",91365,1261380,51071965967,25071569899,525679686,779,40489,NA,0.97,1,0.99,1.01,1,0.99,0.99,NA,2107,2.4,20081,1.6,1716244588,3.5,1018412919,4.2,-59231187,-10.1,14,1.8,728,1.8,"Iowa",175,7.25
176,176,20000,5,10,51,0,2013,"A",NA,"Kansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",79206,1092895,46225952040,10179903654,404761188,813,42297,NA,0.97,0.97,0.99,0.67,0.97,1.02,1.02,NA,571,0.7,16830,1.6,1228256053,2.7,270976432,2.7,6607417,1.7,9,1.1,480,1.1,"Kansas",176,7.25
177,177,21000,5,10,51,0,2013,"A",NA,"Kentucky -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",112028,1475768,59882732131,14416538539,492645457,780,40577,NA,0.98,0.98,0.98,1.02,1,1,1,NA,6754,6.4,20010,1.4,1320735274,2.3,440998936,3.2,1965543,0.4,6,0.8,349,0.9,"Kentucky",177,7.25
178,178,22000,5,10,51,0,2013,"A",NA,"Louisiana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",121125,1572098,69696653762,14354761546,266394076,853,44334,NA,0.99,0.98,0.99,1.02,1,1.01,1.01,NA,689,0.6,31766,2.1,2663899152,4,319085724,2.3,18418940,7.4,16,1.9,816,1.9,"Louisiana",178,7.25
179,179,23000,5,10,51,0,2013,"A",NA,"Maine -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",46198,490773,19031270000,5418703896,168832374,746,38778,NA,0.97,0.99,0.98,1.02,1,0.99,0.99,NA,-370,-0.8,4231,0.9,502896569,2.7,102979997,1.9,5886917,3.6,14,1.9,696,1.8,"Maine",179,7.5
180,180,24000,5,10,51,0,2013,"A",NA,"Maryland -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",165535,2044677,106169110776,18356704049,742914329,999,51925,NA,1.01,0.96,0.92,0.98,1.01,0.96,0.96,NA,1390,0.8,20614,1,1099295729,1,252036600,1.4,-284660043,-27.7,1,0.1,15,0,"Maryland",180,7.25
181,181,25000,5,10,51,0,2013,"A",NA,"Massachusetts -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",219486,2876412,179233318543,36523601381,1718057767,1198,62311,NA,1,1.04,1.05,0.85,0.99,1.01,1.01,NA,2315,1.1,48137,1.7,5386540470,3.1,972141949,2.7,-31796481,-1.8,16,1.4,844,1.4,"Massachusetts",181,8
182,182,26000,5,10,51,0,2013,"A",NA,"Michigan -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",230322,3463644,161650955581,34113544828,1774605729,898,46671,NA,1,1.02,1.01,1.02,1,0.99,0.99,NA,-1995,-0.9,89972,2.7,5730437724,3.7,1484857296,4.6,-46649950,-2.6,9,1,454,1,"Michigan",182,7.4
183,183,27000,5,10,51,0,2013,"A",NA,"Minnesota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",156117,2322210,117216507273,49128676992,1231088648,971,50476,NA,0.99,1.02,1.03,1.02,1,1.01,1.01,NA,-2338,-1.5,45951,2,3973291201,3.5,2406664137,5.2,78061742,6.8,14,1.5,726,1.5,"Minnesota",183,7.25
184,184,28000,5,10,51,0,2013,"A",NA,"Mississippi -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",66316,855652,30708946090,11820248519,185974981,690,35890,NA,0.97,0.93,0.92,1,1,0.99,0.99,NA,1508,2.3,8893,1.1,849075180,2.8,178832445,1.5,-83245498,-30.9,12,1.8,626,1.8,"Mississippi",184,7.25
185,185,29000,5,10,51,0,2013,"A",NA,"Missouri -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",171027,2220183,96455498465,26880128334,608908139,835,43445,NA,0.98,1,1.01,1.01,1,1.01,1.01,NA,3663,2.2,31426,1.4,2059735226,2.2,548083330,2.1,-17290967,-2.8,6,0.7,317,0.7,"Missouri",185,7.35
186,186,30000,5,10,51,0,2013,"A",NA,"Montana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",41083,354798,12949681928,6827143593,144988660,702,36499,NA,0.98,0.96,0.94,0.82,0.95,0.97,0.97,NA,829,2.1,6876,2,429174470,3.4,323614066,5,-4653577,-3.1,10,1.4,512,1.4,"Montana",186,7.8
187,187,31000,5,10,51,0,2013,"A",NA,"Nebraska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",65298,774598,30485519818,7104760873,119845128,757,39357,NA,0.98,0.98,0.97,1.01,1,0.99,0.99,NA,2473,3.9,12130,1.6,1008626343,3.4,166503837,2.4,-47449746,-28.4,14,1.9,697,1.8,"Nebraska",187,7.25
188,188,32000,5,10,51,0,2013,"A",NA,"Nevada -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",73059,1014758,43576250200,23815529734,528710114,826,42943,NA,1.01,1.04,1.01,1.02,1,0.98,0.98,NA,1610,2.3,26617,2.7,1669463563,4,910015093,4,2746610,0.5,10,1.2,533,1.3,"Nevada",188,8.25
189,189,33000,5,10,51,0,2013,"A",NA,"New Hampshire -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",46949,534080,26403978054,6747074272,168512909,951,49438,NA,0.98,1.02,1.04,1.02,1.01,1.01,1.01,NA,532,1.1,6828,1.3,687123388,2.7,123033492,1.9,-51797820,-23.5,13,1.4,663,1.4,"New Hampshire",189,7.25
190,190,34000,5,10,51,0,2013,"A",NA,"New Jersey -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",251020,3235655,190958484279,77735669410,2499242389,1135,59017,NA,1.01,1.01,1,1,1,0.99,0.99,NA,-1922,-0.8,41185,1.3,5394286237,2.9,2374293487,3.2,55532056,2.3,18,1.6,928,1.6,"New Jersey",190,7.25
191,191,35000,5,10,51,0,2013,"A",NA,"New Mexico -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",51610,610148,24202243586,12031472800,196535339,763,39666,NA,0.96,0.91,0.89,0.99,0.98,0.97,0.97,NA,-106,-0.2,7034,1.2,366738749,1.5,505427671,4.4,12546326,6.8,3,0.4,145,0.4,"New Mexico",191,7.5
192,192,36000,5,10,51,0,2013,"A",NA,"New York -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",599719,7321113,470031906465,64002682490,2902053416,1235,64202,NA,1.02,1,1.02,1.02,1.01,1.02,1.02,NA,9303,1.6,130887,1.8,10490695609,2.3,1867313479,3,54911543,1.9,6,0.5,290,0.5,"New York",192,7.25
193,193,37000,5,10,51,0,2013,"A",NA,"North Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",248353,3291488,144059441951,59161966158,1402221256,842,43767,NA,1,0.98,0.98,0.98,0.99,1,1,NA,-2081,-0.8,64696,2,5179413696,3.7,2404459186,4.2,60162289,4.5,14,1.7,727,1.7,"North Carolina",193,7.25
194,194,38000,5,10,51,0,2013,"A",NA,"North Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",28616,359414,17517896523,8967032484,102662488,937,48740,NA,0.96,1,1.02,1,1,1.02,1.02,NA,1418,5.2,14876,4.3,1385612033,8.6,1223986667,15.8,5213504,5.3,37,4.1,1917,4.1,"North Dakota",194,7.25
195,195,39000,5,10,51,0,2013,"A",NA,"Ohio -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",273758,4404185,194056494848,40406288420,1127049806,847,44062,NA,0.98,1.02,1.01,1.02,1,0.99,0.99,NA,693,0.3,66884,1.5,4947815873,2.6,837714150,2.1,-240377325,-17.6,9,1.1,461,1.1,"Ohio",195,7.85
196,196,40000,5,10,51,0,2013,"A",NA,"Oklahoma -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",100047,1241022,53033658997,22875292385,525906461,822,42734,NA,0.98,0.94,0.95,0.95,0.97,1.01,1.01,NA,1267,1.3,18629,1.5,1860601237,3.6,1192559291,5.5,-27270305,-4.9,17,2.1,871,2.1,"Oklahoma",196,7.25
197,197,41000,5,10,51,0,2013,"A",NA,"Oregon -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",125881,1410792,62618141682,33728574648,1040823658,854,44385,NA,0.99,1,0.98,1.01,1,0.99,0.99,NA,-225,-0.2,38482,2.8,2678574546,4.5,1787984120,5.6,53514196,5.4,14,1.7,707,1.6,"Oregon",197,8.95
198,198,42000,5,10,51,0,2013,"A",NA,"Pennsylvania -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",327149,4905312,239351296570,41235001156,2739431064,938,48794,NA,0.99,1.04,1.04,1.02,1,1,1,NA,-8019,-2.4,18016,0.4,4043944973,1.7,2275539162,5.8,149437167,5.8,12,1.3,647,1.3,"Pennsylvania",198,7.25
199,199,44000,5,10,51,0,2013,"A",NA,"Rhode Island -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",34752,397448,18192298805,6462681233,247154057,880,45773,NA,1.01,1.03,0.99,1.02,1.01,0.96,0.96,NA,226,0.7,5336,1.4,691231410,3.9,259220361,4.2,8051115,3.4,22,2.6,1140,2.6,"Rhode Island",199,7.75
200,200,45000,5,10,51,0,2013,"A",NA,"South Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",113145,1511832,59143384971,18552353637,473700838,752,39120,NA,1,0.97,0.96,1.02,1,0.99,0.99,NA,4725,4.4,33696,2.3,1993791736,3.5,524929789,2.9,31951477,7.2,8,1.1,457,1.2,"South Carolina",200,7.25
201,201,46000,5,10,51,0,2013,"A",NA,"South Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",29271,333312,12360897142,3820702880,39728594,713,37085,NA,0.95,0.98,0.98,0.99,0.95,1,1,NA,303,1,4171,1.3,411066384,3.4,277287628,7.8,-1740294,-4.2,15,2.1,779,2.1,"South Dakota",201,7.25
202,202,47000,5,10,51,0,2013,"A",NA,"Tennessee -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",140041,2284291,101160369211,22238449769,549685619,852,44285,NA,1.01,1.01,1.01,1,1,1.01,1.01,NA,2596,1.9,43367,1.9,1974914577,2,487842003,2.2,-148517896,-21.3,1,0.1,24,0.1,"Tennessee",202,7.25
203,203,48000,5,10,51,0,2013,"A",NA,"Texas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",592908,9263369,482966220528,96248594634,2775577491,1003,52137,NA,1,1,1.02,1.01,1.01,1.02,1.02,NA,13062,2.3,298580,3.3,20446710623,4.4,3626176295,3.9,-166756998,-5.7,11,1.1,544,1.1,"Texas",203,7.25
